#kic fratio(Kepband) log10(T1) log10(T2) logg1 logg2
8285254 6.456215e-02 3.7925 3.6573 3.90 4.22
8301013 6.045388e-01 3.7922 3.7778 4.23 4.35
8302455 1.077210e+00 3.7745 3.7763 4.36 4.34
8345358 8.686620e-02 3.7840 3.6818 4.21 4.61
8356054 6.008899e-01 3.7339 3.7040 4.57 4.62
8378922 9.707339e-01 3.8973 3.8946 4.18 4.18
8411947 5.438045e-01 3.7113 3.6690 4.36 4.35
8414159 4.686359e-02 3.7721 3.6146 4.34 4.69
8415863 1.347219e-02 3.7614 3.5446 4.46 4.71
8445775 1.018282e+00 3.7787 3.7796 4.57 4.56
8488876 7.669919e-04 3.8377 3.5218 4.05 4.89
8491745 1.447677e-02 3.7196 3.6202 3.69 4.65
8504570 7.245320e-01 3.8768 3.8083 4.19 4.00
8509346 1.047227e-02 3.8354 3.5667 4.09 4.17
8543278 4.184394e-01 3.7298 3.6782 4.59 4.64
8560285 2.407922e-03 3.7754 3.5257 4.14 4.91
8569819 1.490310e-01 3.8585 3.7734 4.14 4.48
8574270 3.548962e-02 3.7365 3.5347 4.43 4.41
8580438 4.823557e-03 3.7646 3.5323 4.19 4.82
8581658 1.019869e-01 3.8323 3.7053 4.28 4.52
8605074 2.821855e-03 3.7651 3.5346 4.13 4.95
8610483 8.582652e-01 3.8129 3.8117 4.12 4.17
8618226 4.793237e-02 3.7629 3.6294 4.19 4.62
8668810 7.012630e-02 3.6956 3.5537 4.55 4.57
8690001 1.591677e+00 3.7992 3.7840 4.21 3.96
8879427 3.723135e-03 3.7686 3.5289 4.20 4.88
8892720 2.750270e-03 3.7623 3.5313 3.97 4.82
8957954 9.075956e-01 3.8039 3.8010 4.33 4.35
9048145 1.401176e-03 4.0489 3.6227 4.14 4.80
9098810 1.006271e+00 3.7341 3.7345 4.57 4.57
9110346 5.894205e-01 3.7977 3.7766 4.45 4.57
9412462 1.382380e+00 3.7916 3.7554 4.09 3.82
9474222 2.987147e-03 3.8231 3.5419 4.26 4.86
9665503 1.867308e-01 3.7575 3.6684 4.44 4.64
9714123 3.874615e-03 3.7614 3.5177 4.50 5.00
9714358 1.812143e-02 3.6974 3.5136 4.52 4.50
9775253 3.601312e-01 3.5863 3.5481 4.69 4.80
9777090 1.642166e-01 3.6095 3.5308 4.52 4.55
9786017 5.595455e-02 3.8041 3.7942 3.49 4.47
9838060 9.719584e-03 3.7328 3.5238 4.52 4.92
9839062 5.028559e-03 3.7818 3.5444 4.34 4.95
9873869 2.714261e-02 3.7875 3.6101 4.35 4.67
9881258 3.773662e-01 3.7932 3.7817 4.05 4.37
9944421 7.737282e-01 3.7184 3.7006 4.40 4.41
9965206 1.020390e+00 3.7140 3.7151 4.57 4.56
10001167 5.427186e+01 3.7902 3.6963 4.34 2.38
10015516 8.155189e+00 4.0057 3.8268 4.21 2.78
10020423 5.927883e-03 3.7589 3.5226 4.47 4.92
10026136 8.993143e-01 3.8590 3.8676 3.92 3.99
10026457 2.128880e-01 4.0210 3.7557 4.22 3.91
10063044 5.375548e-01 3.8443 3.8633 3.84 4.16
10091257 1.432211e+00 3.7828 3.7930 4.38 4.29
10095512 2.155670e-01 3.8078 3.7140 4.16 4.35
10129482 8.009852e-02 3.8142 3.6700 4.52 4.79
10191056 7.345272e-01 3.8227 3.8181 4.02 4.11
10198109 4.726959e-03 3.7771 3.5321 4.36 4.91
10208759 1.583371e+00 3.8466 3.8300 3.99 3.77
10257903 7.720085e-02 3.7910 3.6795 4.20 4.64
10287248 7.360209e-03 3.7716 3.5659 4.54 5.09
10332789 5.165250e-03 3.7681 3.5323 4.26 4.85
10345862 5.972232e-02 3.8051 3.7112 4.00 4.60
10346522 3.877929e-01 3.9586 3.7915 3.59 3.36
10363300 3.678258e-01 3.8012 3.7848 4.10 4.40
10462826 2.964356e-02 3.8121 3.6288 4.31 4.65
10480952 9.596592e-01 3.9515 3.9471 4.33 4.33
10487119 5.670936e-01 4.0008 3.9570 4.32 4.40
10489521 3.363326e-01 3.7917 3.7485 4.28 4.49
10491031 9.216174e-01 3.8053 3.8000 4.13 4.14
10518735 7.820673e-01 3.7213 3.7079 4.56 4.58
10547685 8.056729e-01 3.9493 3.9343 4.34 4.37
10549576 2.721102e-02 3.9089 3.7554 3.98 4.67
10583181 9.604973e-02 4.0501 3.8951 4.10 4.48
10592163 5.304903e-02 3.9015 3.6906 4.34 4.48
10616829 4.816100e-02 3.8587 3.7563 3.84 4.49
10619109 2.080893e-01 4.0301 3.7701 4.00 3.74
10677186 4.279762e-03 3.7657 3.5678 3.91 4.91
10711551 4.757672e-01 3.8480 3.8101 4.34 4.46
10711913 2.348527e-01 3.7613 3.7487 4.01 4.52
10743600 3.317244e-02 3.8378 3.6652 4.22 4.68
10751515 1.688318e-01 3.7365 3.7308 3.87 4.47
10753734 5.874610e-01 3.7790 3.7579 4.38 4.49
10794242 1.609302e-02 3.8256 3.6199 4.24 4.63
10857342 1.084234e-01 4.0538 3.7463 3.88 3.73
10879213 6.312515e-01 3.6698 3.6366 4.60 4.58
10909274 9.780636e-01 3.8099 3.8102 4.11 4.12
10920813 2.468139e+00 3.8338 3.7204 3.88 3.03
10936427 1.188226e+00 3.7902 3.7151 4.07 3.69
10937609 2.020656e-01 3.8186 3.7390 3.85 4.14
10960995 4.575114e-01 3.7243 3.6857 4.48 4.57
10979716 1.808202e-01 3.6262 3.5335 4.59 4.59
10992733 3.920426e-01 3.7428 3.7069 4.32 4.51
11071207 1.105162e+00 3.8102 3.8091 4.12 4.08
11076279 2.470230e-01 3.8997 3.7662 4.06 4.08
11200773 3.178756e-03 3.7781 3.5232 4.20 4.82
11234677 6.462361e-03 3.7933 3.5778 4.07 4.85
11249624 1.132984e+00 4.1257 4.0756 4.53 4.35
11285625 8.003691e-01 3.8335 3.8297 4.06 4.13
11391181 6.724415e-01 3.7030 3.6849 4.49 4.54
11401845 3.042017e-01 3.8461 3.7663 3.87 4.02
11404698 1.382054e-01 3.8151 3.7018 4.51 4.74
11455484 2.989629e-02 3.8017 3.6805 3.93 4.73
11499757 4.455113e-01 3.7929 3.7691 4.25 4.45
11558882 3.736465e-02 3.8077 3.6614 4.13 4.68
11724091 5.108897e-02 4.0262 3.8275 4.08 4.47
11819135 9.527836e-02 3.7776 3.7783 3.69 4.57
11913071 4.325997e-02 3.8991 3.7366 4.11 4.56
11961695 3.988328e-02 3.7876 3.6667 4.05 4.64
11975363 9.188348e-01 3.8599 3.8544 4.37 4.38
