#Note: distances quoted are in parsecs, Gaia distances are from Bailer-Jones+2018;
# primary and secondary eclipse depths and morphology are taken from Villanova EB catalogue;
# ETV flag from visual inspection, where 0=False, 1=True, and keywords 'b', 'r', 'c' refer
# to triple identification by Borkovits+2016, Rappaport+2012, Conroy+2014, respectively.
#KIC keblat_dist keblat_dist_err gaia_dist gaia_dist_err rel_dist_err pe_depth se_depth morph etv_flag
11975363 1660.71 26.15 2152.96 123.66 0.2286 0.336 0.308 0.39 0
12004679 563.54 7.28 562.46 4.90 0.0019 0.456 0.375 0.24 0
12013615 1865.80 36.92 1437.90 40.28 0.2976 0.324 0.254 0.27 0
12022517 2513.40 29.29 3161.60 317.11 0.2050 0.055 0.020 0.28 0
12109845 1210.26 33.76 1107.18 54.40 0.0931 0.251 0.126 0.51 0
12164634 1167.84 20.95 1243.77 22.05 0.0610 0.064 0.002 0.02 0
12208887 1489.31 18.44 1497.59 85.92 0.0055 0.420 0.066 0.01 0
12216706 2378.83 96.96 3476.64 275.61 0.3158 0.165 0.018 0.54 0
12217907 1422.80 36.39 1305.81 29.28 0.0896 0.205 0.061 0.09 0
12251779 1228.86 24.13 1012.24 610.04 0.2140 0.089 0.004 0.13 0
12306808 996.29 8.59 997.37 13.10 0.0011 0.195 0.161 0.08 0
12316447 2147.77 23.80 1997.14 156.04 0.0754 0.234 0.023 0.09 0
12351927 741.28 42.34 847.54 22.03 0.1254 0.053 0.005 0.07 0
12356914 1328.39 56.84 1343.87 52.44 0.0115 0.359 0.054 0.03 1b
12418816 330.71 16.23 240.11 1.38 0.3773 0.358 0.332 0.47 0
12459731 3890.74 334.88 3442.76 917.09 0.1301 0.157 0.038 0.08 1
12470530 682.21 8.39 781.60 13.38 0.1272 0.357 0.126 0.13 0
12506351 1102.09 35.10 816.70 7.61 0.3494 0.053 0.037 0.37 0
12644769 68.34 0.86 75.09 0.15 0.0898 0.135 0.017 0.03 1
1995732 2410.44 99.52 3475.36 476.74 0.3064 0.091 0.062 0.03 1
2161623 3163.01 59.39 2001.29 71.03 0.5805 0.826 0.135 0.54 0
2162994 1442.80 7.79 1561.10 36.59 0.0758 0.341 0.300 0.42 0
2305372 2046.34 49.88 1334.37 27.57 0.5336 0.690 0.128 0.58 1b
2305543 594.61 20.20 533.94 5.63 0.1136 0.108 0.105 0.50 0
2306740 1413.54 55.59 1451.10 35.09 0.0259 0.315 0.295 0.27 1
2307206 1518.69 37.13 1601.29 89.64 0.0516 0.353 0.197 0.01 0
2308957 2737.51 36.41 2644.09 132.73 0.0353 0.332 0.299 0.59 0
2437060 4297.33 141.98 3652.31 1050.01 0.1766 0.114 0.018 0.47 0
2437149 3160.29 332.75 3634.53 1237.28 0.1305 0.234 0.153 0.11 0
2437452 3528.18 174.03 5086.22 2118.93 0.3063 0.118 0.048 0.16 0
2441161 1761.51 51.05 2308.42 282.81 0.2369 0.087 0.054 0.25 0
2442084 403.93 14.86 459.17 9.53 0.1203 0.207 0.147 0.03 0
2445134 1415.70 28.51 928.42 12.74 0.5249 0.138 0.007 0.16 0
2449090 1971.50 287.20 -99.99 -99.99 -99.99 0.166 0.045 0.24 0
2576692 728.32 5.26 782.75 19.90 0.0695 0.319 0.259 0.04 1b
2580872 1984.95 39.90 2154.69 118.75 0.0788 0.256 0.167 0.12 0
2693092 409.02 4.94 1180.08 155.44 0.6534 0.137 0.005 0.05 0
2719873 710.63 19.38 726.73 15.21 0.0221 0.164 0.009 0.07 0
2720354 988.12 54.75 1232.30 23.13 0.1982 0.073 0.009 0.46 0
2852560 1671.53 11.98 2023.84 204.90 0.1741 0.287 0.189 0.09 0
2860594 2959.24 20.47 2644.64 116.54 0.1190 0.057 0.018 0.52 0
2860788 1358.98 102.94 1408.79 36.76 0.0354 0.100 0.091 0.37 0
2973509 1336.79 7.45 1378.04 35.88 0.0299 0.215 0.136 0.24 0
2998124 722.79 14.80 804.01 9.47 0.1010 0.089 0.003 0.08 0
3003991 486.34 9.68 484.77 3.92 0.0032 0.094 0.005 0.13 0
3098194 1311.32 68.90 1052.32 137.18 0.2461 0.240 0.249 0.10 0
3102000 2881.78 62.18 2740.01 314.83 0.0517 0.069 0.003 0.03 0
3102024 468.95 48.13 203.35 28.73 1.3061 0.219 0.154 0.15 0
3114667 807.93 57.31 982.15 74.56 0.1774 0.376 0.316 0.52 0
3120320 368.10 22.64 243.28 2.43 0.5131 0.143 0.013 0.14 0
3127817 1119.20 28.97 -99.99 -99.99 -99.99 0.058 0.051 0.48 0
3241344 742.27 7.36 903.45 18.92 0.1784 0.279 0.016 0.24 0
3241619 474.76 9.30 348.37 2.76 0.3628 0.474 0.163 0.44 1
3247294 2116.66 273.14 1402.27 31.86 0.5095 0.172 0.103 0.02 1o
3248332 1073.49 42.16 1433.92 32.70 0.2514 0.125 0.097 0.20 0
3323289 984.70 8.23 1016.34 26.01 0.0311 0.452 0.294 0.05 0
3341934 2104.85 29.73 2168.50 134.61 0.0294 0.192 0.022 0.07 0
3344427 1033.26 33.98 852.75 26.86 0.2117 0.340 0.211 0.57 0
3348093 614.18 30.40 769.55 24.41 0.2019 0.262 0.155 0.12 0
3352751 1993.89 37.96 2141.82 62.01 0.0691 0.138 0.025 0.50 0
3439031 847.28 66.12 480.11 5.76 0.7648 0.405 0.416 0.33 0
3440230 3810.77 264.51 2284.88 77.48 0.6678 0.651 0.083 0.54 1b
3449540 1722.56 36.70 1486.22 39.97 0.1590 0.378 0.385 0.40 0
3530668 1762.67 100.55 1039.56 15.84 0.6956 0.143 0.020 0.48 0
3542573 622.72 4.69 663.73 14.13 0.0618 0.089 0.084 0.25 0
3543270 2602.70 43.99 2795.18 234.91 0.0689 0.061 0.022 0.33 0
3544694 1365.85 110.96 2736.31 278.62 0.5008 0.097 0.052 0.29 0
3644542 341.05 4.54 395.43 4.77 0.1375 0.294 0.257 0.06 0
3654950 2632.77 67.79 2456.14 255.51 0.0719 0.056 0.059 0.26 0
3655326 1644.19 166.82 1635.91 52.29 0.0051 0.080 0.052 0.11 0
3662635 1766.86 32.69 3180.96 2137.99 0.4446 0.108 0.090 0.57 0
3735629 1081.59 22.21 1306.14 78.18 0.1719 0.447 0.222 0.13 0
3757778 1513.07 22.53 1466.01 70.16 0.0321 0.117 0.005 0.04 1
3832716 1389.41 104.46 1994.28 188.83 0.3033 0.310 0.146 0.57 0
3834364 973.07 30.17 1162.26 26.79 0.1628 0.061 0.008 0.23 0
3838496 8596.30 435.73 3705.34 1447.82 1.3200 0.236 0.192 0.36 0
3848919 821.32 8.68 836.14 13.34 0.0177 0.379 0.342 0.57 0
3851193 1952.71 75.06 1168.67 28.24 0.6709 0.124 0.018 0.55 0
3858884 1731.67 39.99 544.36 9.47 2.1811 0.373 0.302 0.14 0
3865298 1129.09 27.49 1386.45 45.63 0.1856 0.288 0.253 0.15 0
3938073 670.09 21.65 669.93 18.42 0.0002 0.092 0.027 0.06 0
3953106 1973.32 55.81 1733.44 58.61 0.1384 0.122 0.056 0.20 0
3957477 900.26 17.24 -99.99 -99.99 -99.99 0.055 0.039 0.58 0
3970117 1967.04 71.88 1984.63 116.36 0.0089 0.178 0.026 0.03 0
3973002 2137.85 58.43 -99.99 -99.99 -99.99 0.070 0.057 0.34 0
3973504 1274.55 27.67 1983.79 137.89 0.3575 0.054 0.014 0.18 0
4037163 1898.03 97.39 2008.11 395.06 0.0548 0.139 0.137 0.59 0
4054905 2066.16 28.99 2675.50 124.70 0.2277 0.168 0.145 0.13 0
4076952 3507.02 49.82 2524.46 148.60 0.3892 0.207 0.199 0.38 0
4077442 473.62 7.04 547.67 5.12 0.1352 0.097 0.070 0.59 1
4149684 1701.92 64.79 1899.36 74.82 0.1040 0.071 0.012 0.25 0
4157488 1953.13 35.20 2092.65 76.52 0.0667 0.089 0.089 0.39 0
4247023 1572.79 63.28 1840.34 109.33 0.1454 0.381 0.307 0.03 0
4247791 941.18 37.67 1080.76 73.97 0.1291 0.122 0.099 0.49 0
4252226 1090.54 28.43 1223.64 22.72 0.1088 0.112 0.035 0.07 0
4276114 1582.41 14.27 1356.62 63.62 0.1664 0.052 0.004 0.17 0
4281895 377.46 8.76 415.66 5.94 0.0919 0.063 0.065 0.13 0
4285087 505.14 10.78 607.19 11.59 0.1681 0.256 0.241 0.31 0
4346875 2027.59 277.39 1692.15 96.86 0.1982 0.169 0.015 0.24 0
4352168 798.48 18.28 769.26 12.12 0.0380 0.406 0.104 0.13 0
4365461 1244.27 18.25 1364.06 31.76 0.0878 0.105 0.105 0.43 0
4372765 3267.79 1353.97 4923.08 2230.25 0.3362 0.246 0.122 0.11 0
4375101 2119.08 21.37 2454.53 188.34 0.1367 0.206 0.208 0.05 0
4380283 2525.48 67.35 1833.78 78.17 0.3772 0.291 0.220 0.49 0
4445630 1480.10 26.27 1723.90 59.67 0.1414 0.399 0.396 0.30 0
4484356 802.59 15.84 686.62 9.10 0.1689 0.135 0.115 0.51 0
4540632 728.12 12.01 720.44 11.42 0.0106 0.510 0.150 0.01 0
4544587 654.76 39.67 728.71 21.98 0.1015 0.448 0.324 0.49 1
4574310 1422.67 18.28 1055.31 18.54 0.3481 0.481 0.139 0.56 0
4578594 3097.65 61.38 3827.47 1697.14 0.1907 0.128 0.097 0.01 0
4579321 1863.08 140.02 2148.08 1248.24 0.1327 0.200 0.072 0.34 0
4633434 855.65 43.94 789.93 18.66 0.0832 0.169 0.011 0.04 0
4661634 1602.44 53.03 1424.45 65.68 0.1250 0.221 0.023 0.02 0
4678171 653.63 5.75 726.80 23.29 0.1007 0.471 0.227 0.08 0
4736208 2169.24 47.61 2104.63 205.83 0.0307 0.279 0.280 0.08 0
4737267 2641.36 72.91 2496.55 194.93 0.0580 0.351 0.199 0.33 0
4737302 768.91 27.42 948.93 26.64 0.1897 0.110 0.054 0.26 0
4739194 1410.66 16.38 1460.68 39.57 0.0342 0.388 0.079 0.56 0
4739791 3079.52 98.24 2801.14 175.25 0.0994 0.161 0.067 0.59 0
4740676 1105.74 17.39 1280.05 31.31 0.1362 0.094 0.006 0.37 0
4753988 2164.00 98.54 1284.60 41.49 0.6846 0.131 0.044 0.16 1b
4757331 2114.80 118.30 1630.65 111.21 0.2969 0.059 0.041 0.33 0
4773155 764.72 5.98 742.22 9.37 0.0303 0.428 0.346 0.02 1
4815612 1808.13 50.15 1886.28 93.05 0.0414 0.184 0.129 0.33 0
4824268 1210.34 35.14 1204.64 36.45 0.0047 0.146 0.079 0.03 0
4826439 2231.54 28.90 1821.39 89.72 0.2252 0.421 0.416 0.54 0
4839180 914.95 10.50 956.03 14.09 0.0430 0.259 0.164 0.22 0
4840263 1591.39 29.35 -99.99 -99.99 -99.99 0.135 0.068 0.48 0
4848423 913.56 41.03 845.15 18.34 0.0809 0.368 0.354 0.48 1b
4851217 2301.89 180.31 1157.69 50.75 0.9883 0.198 0.181 0.58 0
4862625 1183.04 31.94 2165.00 581.27 0.4536 0.013 0.001 0.06 0
4902030 759.31 11.54 780.22 55.22 0.0268 0.480 0.277 0.39 0
4908495 506.48 30.76 457.27 2.99 0.1076 0.251 0.192 0.32 0
4931073 692.40 7.06 1007.02 31.86 0.3124 0.084 0.056 0.08 0
4932348 896.41 48.20 1177.90 48.22 0.2390 0.083 0.002 0.02 0
4932691 989.65 19.17 1873.72 53.94 0.4718 0.111 0.038 0.10 0
4947726 1409.86 21.09 1388.56 52.52 0.0153 0.175 0.015 0.22 0
4948863 1156.03 86.48 1246.97 54.36 0.0729 0.059 0.012 0.10 1b
5016163 3879.40 108.87 3415.66 420.59 0.1358 0.386 0.370 0.40 0
5017058 1154.22 20.15 1176.72 20.68 0.0191 0.137 0.127 0.48 0
5021174 746.96 117.38 4191.39 2242.06 0.8218 0.253 0.044 0.21 0
5023948 2024.70 44.73 2530.02 135.80 0.1997 0.170 0.153 0.35 0
5024292 2091.17 114.79 1836.13 132.32 0.1389 0.178 0.140 0.37 0
5036538 232.10 6.94 251.31 1.25 0.0764 0.400 0.339 0.36 0
5036966 2138.52 96.09 1903.09 74.52 0.1237 0.217 0.021 0.04 0
5039441 566.38 8.09 525.24 9.99 0.0783 0.270 0.022 0.39 1brc
5080652 1804.79 54.13 1556.57 57.14 0.1595 0.315 0.171 0.31 0
5091614 763.52 18.28 1124.57 28.46 0.3211 0.068 0.026 0.06 0
5113053 2372.96 47.32 2696.41 199.61 0.1200 0.389 0.294 0.41 1
5181455 1858.14 51.01 1593.79 78.45 0.1659 0.114 0.011 0.14 0
5193386 3123.77 87.25 2420.42 101.27 0.2906 0.270 0.078 0.32 0
5215700 2425.31 17.60 2778.34 214.57 0.1271 0.176 0.166 0.58 0
5217733 676.67 30.85 1362.01 72.13 0.5032 0.101 0.048 0.03 0
5264304 1245.83 31.17 1272.50 54.33 0.0210 0.176 0.058 0.01 0
5269407 825.67 5.03 990.51 19.35 0.1664 0.227 0.044 0.53 1b
5284133 1005.49 10.93 1011.75 34.46 0.0062 0.245 0.049 0.15 0
5288543 1108.86 39.47 1142.45 22.25 0.0294 0.305 0.177 0.41 1
5300878 743.37 18.75 655.77 10.83 0.1336 0.445 0.421 0.50 0
5310435 2391.15 71.39 1748.01 50.25 0.3679 0.266 0.071 0.53 0
5347784 851.08 11.64 906.87 12.94 0.0615 0.113 0.104 0.19 0
5359678 2146.56 71.80 1534.91 46.98 0.3985 0.140 0.108 0.27 0
5392897 3062.54 27.37 3251.00 681.00 0.0580 0.204 0.131 0.11 0
5393558 844.37 14.70 848.68 11.70 0.0051 0.180 0.106 0.12 0
5444392 606.93 8.93 491.47 6.85 0.2349 0.412 0.353 0.58 0
5460835 1133.93 25.04 1413.49 46.75 0.1978 0.136 0.023 0.06 0
5462901 421.79 9.38 593.39 14.76 0.2892 0.106 0.026 0.15 0
5473556 1144.11 15.92 1212.45 22.34 0.0564 0.179 0.161 0.21 0
5475712 2345.35 51.67 1938.51 54.00 0.2099 0.135 0.069 0.53 0
5479973 4068.58 75.71 2875.61 249.33 0.4149 0.142 0.034 0.58 0
5513861 552.37 34.42 729.63 13.72 0.2429 0.253 0.242 0.57 1b
5530881 1008.65 21.95 1065.10 16.45 0.0530 0.273 0.050 0.27 0
5534702 1675.17 16.68 1703.18 43.12 0.0164 0.162 0.111 0.59 0
5535280 1297.75 12.46 1473.10 46.62 0.1190 0.102 0.071 0.01 0
5553624 938.03 17.55 969.00 17.48 0.0320 0.413 0.231 0.13 1
5565486 3028.57 56.94 4236.34 551.75 0.2851 0.174 0.170 0.50 0
5597970 259.03 17.72 227.90 1.13 0.1366 0.174 0.009 0.14 0
5598639 309.43 5.02 692.33 974.03 0.5531 0.107 0.109 0.58 0
5610698 2234.77 123.16 2530.28 98.28 0.1168 0.175 0.055 0.54 0
5622250 1397.25 86.71 1313.01 34.62 0.0642 0.166 0.015 0.09 0
5632781 1205.80 6.15 1205.54 41.42 0.0002 0.395 0.377 0.23 1
5640750 1731.06 18.61 1917.93 84.13 0.0974 0.074 0.022 0.05 0
5649206 728.36 82.95 4943.83 2717.10 0.8527 0.196 0.201 0.29 0
5649956 2430.87 34.83 2113.76 199.89 0.1500 0.056 0.044 0.43 0
5652260 3880.39 297.45 3157.77 1381.48 0.2288 0.061 0.035 0.15 0
5700330 1615.90 25.28 1213.32 21.12 0.3318 0.078 0.005 0.09 0
5716244 3770.33 36.08 -99.99 -99.99 -99.99 0.065 0.020 0.58 0
5728283 2760.13 49.49 2979.25 396.92 0.0735 0.052 0.004 0.36 0
5730394 3204.75 81.46 3410.27 588.04 0.0603 0.210 0.166 0.39 0
5731312 402.85 25.44 374.07 2.92 0.0769 0.236 0.023 0.08 1b
5735878 860.38 13.87 1085.49 86.58 0.2074 0.053 0.002 0.14 0
5736461 3353.08 88.45 3435.87 511.82 0.0241 0.118 0.085 0.24 0
