##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Oct. 26; 2015; 3:04 p.m.
## Download Date (Y/M/D): 2016/02/01
##
## Query String: {&quot;sort&quot;:&quot;p&quot;;&quot;kics&quot;:[];&quot;campaign&quot;:[&quot;-2&quot;];&quot;etvlong&quot;:1;&quot;cols&quot;:[&quot;sdepth&quot;;&quot;pdepth&quot;;&quot;glon&quot;;&quot;scdata&quot;;&quot;pteff&quot;;&quot;cteff&quot;;&quot;ra&quot;;&quot;bjd0&quot;;&quot;morph&quot;;&quot;glat&quot;;&quot;kic&quot;;&quot;lcdata&quot;;&quot;dec&quot;;&quot;keff&quot;;&quot;p&quot;;&quot;sep&quot;;&quot;pwidth&quot;;&quot;swidth&quot;;&quot;figs&quot;;&quot;kmag&quot;];&quot;etvshort&quot;:1;&quot;incat1&quot;:1;&quot;kois&quot;:[]}
##
#KIC;period;bjd0;pdepth;sdepth;pwidth;swidth;sep;morph;RA;DEC;GLon;GLat;kmag;Teff;Teff(Pinsonneault);Teff(Casagrande);SC;
4252322;14.5915165;54970.075735;0.0013;-1.0000;0.0033;-1.0000;1.0000;0.02;288.7578;39.3506;70.9129;12.6152;13.3110;5675.0000;5923.0000;5892.0000;0;
3339538;14.6580139;54958.816851;0.1206;-1.0000;0.0074;-1.0000;1.0000;0.05;290.7394;38.4141;70.7287;10.8198;13.3910;4955.0000;5064.0000;5121.0000;0;
7200102;14.6657571;54972.573371;0.3155;0.1051;0.0084;0.0177;0.3403;0.06;291.7083;42.7970;75.0759;12.0839;15.2130;5207.0000;5315.0000;5293.0000;0;
12470041;14.6677416;54957.492552;0.0290;-1.0000;0.0065;-1.0000;1.0000;0.04;296.0148;51.3470;84.2569;13.2726;13.4150;7290.0000;-9999.0000;7145.0000;0;
7943602;14.6920163;54967.665197;0.0207;0.0071;0.0642;0.0680;0.4994;0.46;284.5936;43.7604;73.8403;17.2133;13.9880;4889.0000;5176.0000;4954.0000;0;
9344623;14.7594793;54972.781981;0.3367;0.3107;0.0223;0.0190;0.4064;0.15;292.7402;45.8015;78.1729;12.7350;13.8220;6312.0000;6540.0000;6537.0000;0;
10592163;14.7629466;54966.772446;0.0777;0.0390;0.0148;0.0118;0.6727;0.11;288.5536;47.8673;78.8947;16.1957;15.0950;5482.0000;5688.0000;5776.0000;0;
7118545;14.7972189;54977.695194;0.2575;0.0308;0.0189;0.0140;0.6758;0.13;292.0287;42.6696;75.0644;11.8165;14.1850;6095.0000;6377.0000;6352.0000;0;
12251779;14.8442331;54967.233201;0.0894;0.0044;0.0188;0.0161;0.7409;0.13;287.5736;50.9987;81.6830;17.9586;14.4150;5926.0000;6238.0000;5952.0000;0;
8008128;14.8544154;54969.559016;0.0810;0.0033;0.0132;0.0156;0.7552;0.09;282.4258;43.8843;73.3814;18.7203;14.5580;5956.0000;6210.0000;5947.0000;0;
5818706;14.9599406;55003.064617;0.0002;-1.0000;0.0908;-1.0000;1.0000;-1.00;298.6959;41.0417;75.9989;6.6743;11.4930;6123.0000;6378.0000;6320.0000;1;
3433668;15.0217983;54991.740114;0.0001;-1.0000;0.0142;-1.0000;1.0000;0.12;288.5491;38.5652;70.1132;12.4317;13.1090;5440.0000;5696.0000;5828.0000;0;
5021732;15.0395069;54977.135482;0.0474;0.0474;0.0142;0.0129;0.5394;0.11;294.7312;40.1505;73.7276;8.8631;13.6230;6119.0000;6411.0000;6366.0000;1;
3655326;15.0665034;54973.654266;0.0803;0.0523;0.0139;0.0152;0.5673;0.11;293.9253;38.7390;72.1709;8.7489;14.2130;6122.0000;6255.0000;6665.0000;0;
4760746;15.0680733;54955.460027;0.0172;-1.0000;0.0085;-1.0000;1.0000;0.06;295.4783;39.8677;73.7515;8.2253;15.9500;5735.0000;-1.0000;-1.0000;0;
8574270;15.1201897;54972.696614;0.0222;0.0080;0.0090;0.0108;0.6448;0.06;296.8211;44.6760;78.5028;9.6664;15.1660;5061.0000;5299.0000;5168.0000;0;
6290740;15.1518271;54994.495729;0.0002;-1.0000;0.1898;-1.0000;1.0000;-1.00;293.6252;41.6615;74.6893;10.3062;12.2540;6342.0000;6548.0000;6599.0000;0;
3240976;15.2388691;55002.377433;0.0006;-1.0000;0.1166;-1.0000;1.0000;-1.00;292.9291;38.3280;71.4361;9.2484;14.5020;6124.0000;6408.0000;6470.0000;0;
10659313;15.2493371;54961.412604;0.0347;-1.0000;0.0090;-1.0000;1.0000;0.06;289.2228;47.9139;79.1214;15.8008;13.5930;6167.0000;6389.0000;6421.0000;0;
4678171;15.2887092;54965.805320;0.4713;0.2273;0.0106;0.0108;0.4978;0.08;297.2840;39.7077;74.2934;6.9360;15.9930;4240.0000;4402.0000;4465.0000;0;
5286221;15.2959828;55004.348011;-0.0008;-1.0000;0.1062;-1.0000;1.0000;-1.00;294.9404;40.4966;74.1126;8.8862;11.9140;8001.0000;-9999.0000;-9999.0000;0;
7955301;15.3244193;54968.272901;0.0118;0.0074;0.0274;0.0368;0.5180;0.33;290.1863;43.7239;75.4476;13.4825;12.6720;4821.0000;5001.0000;5096.0000;1;
11069176;15.3796149;54976.382555;0.0001;-1.0000;0.0160;-1.0000;1.0000;0.14;282.9250;48.6264;78.2439;19.9687;13.1270;5821.0000;6064.0000;6171.0000;1;
8678664;15.4204002;55012.776741;0.0137;-1.0000;0.0054;-1.0000;1.0000;0.03;287.2106;44.8491;75.6255;15.8852;15.5960;5276.0000;5411.0000;5456.0000;0;
5396122;15.4443040;54971.166582;0.0024;-1.0000;0.0056;-1.0000;1.0000;0.06;299.6517;40.5457;75.9425;5.7988;15.8380;5658.0000;-1.0000;-1.0000;0;
8111622;15.4460592;54978.533359;0.3182;0.0282;0.0104;0.0135;0.1831;0.07;296.4385;43.9660;77.7380;9.5648;15.4880;5603.0000;5812.0000;5573.0000;0;
6147122;15.4514983;54959.763678;0.0004;0.0003;0.0083;0.0138;0.4794;0.06;297.9812;41.4449;76.0775;7.3415;11.7980;7625.0000;-9999.0000;-9999.0000;0;
6841577;15.5375346;54973.272656;0.2098;0.0171;0.0134;0.0174;0.4247;0.09;283.7758;42.3593;72.2463;17.2605;14.8750;5478.0000;5741.0000;6053.0000;0;
11768970;15.5413530;54959.413777;0.0095;0.0009;0.0060;0.0134;0.6549;0.03;294.7409;49.9288;82.5818;13.3551;12.6580;5038.0000;5263.0000;5251.0000;1;
3830820;15.5827880;54968.114264;0.0415;0.0053;0.0084;0.0119;0.5639;0.06;284.6202;38.9695;69.2206;15.3974;15.3680;3902.0000;4121.0000;-9999.0000;0;
11044779;15.6086226;55195.822728;0.0214;0.0079;0.0172;0.0109;0.7199;0.14;297.9830;48.5557;82.3463;10.8429;15.4660;5362.0000;-1.0000;-1.0000;1;
